   Operation      Sample     Latency
14-i4-d0      0            1 14121286.80
14-i4-d0      0            2 14210794.60
14-i4-d0      0            3 14076843.40
14-i64-d0     0            1  7340148.40
14-i64-d0     0            2  7326643.40
14-i64-d0     0            3  7400444.80
14-i8-d0      0            1 14202562.20
14-i8-d0      0            2 14594691.80
14-i8-d0      0            3 14602852.40
146-i1-d0     0            1 58984332.00
146-i1-d0     0            2 59076057.00
146-i1-d0     0            3 59115949.80
146-i128-d0   0            1 57973622.80
146-i128-d0   0            2 57970174.60
146-i128-d0   0            3 57931436.80
146-i16-d0    0            1 59916216.00
146-i16-d0    0            2 60027547.00
146-i16-d0    0            3 60027473.40
146-i2-d0     0            1 62446655.00
146-i2-d0     0            2 62442630.40
146-i2-d0     0            3 62465592.20
146-i32-d0    0            1 59631691.80
146-i32-d0    0            2 59477879.60
146-i32-d0    0            3 59387382.20
146-i4-d0     0            1 61155600.40
146-i4-d0     0            2 61212077.20
146-i4-d0     0            3 61290796.00
146-i64-d0    0            1 56905337.20
146-i64-d0    0            2 56966811.40
146-i64-d0    0            3 57087370.80
146-i8-d0     0            1 60075534.00
146-i8-d0     0            2 60127215.60
146-i8-d0     0            3 60275711.60
160-i1-d0     0            1 63487747.40
160-i1-d0     0            2 63234965.60
160-i1-d0     0            3 63426928.40
160-i128-d0   0            1 62311656.00
160-i128-d0   0            2 62193227.00
160-i128-d0   0            3 62368696.80
160-i16-d0    0            1 61040865.00
160-i16-d0    0            2 61020009.00
160-i16-d0    0            3 61106834.20
160-i2-d0     0            1 63069367.40
160-i2-d0     0            2 63119055.00
160-i2-d0     0            3 63233700.20
160-i32-d0    0            1 60732852.80
160-i32-d0    0            2 60805587.60
160-i32-d0    0            3 60899523.40
160-i4-d0     0            1 62341813.80
160-i4-d0     0            2 62210021.80
160-i4-d0     0            3 62244373.40
160-i64-d0    0            1 61123682.60
160-i64-d0    0            2 61259243.80
160-i64-d0    0            3 61072131.40
160-i8-d0     0            1 61215232.60
160-i8-d0     0            2 61234306.40
160-i8-d0     0            3 61255075.80
17-i1-d0      0            1  7748405.20
17-i1-d0      0            2  7735055.20
17-i1-d0      0            3  7742367.60
17-i128-d0    0            1  6585517.60
17-i128-d0    0            2  6553437.40
17-i128-d0    0            3  6603168.00
17-i16-d0     0            1 15069752.20
17-i16-d0     0            2 15193958.60
17-i16-d0     0            3 15057373.80
17-i2-d0      0            1 13181655.20
17-i2-d0      0            2 13166954.40
17-i2-d0      0            3 13201114.00
17-i32-d0     0            1 11529117.40
17-i32-d0     0            2 11480600.20
17-i32-d0     0            3 11487390.60
17-i4-d0      0            1 17064355.40
17-i4-d0      0            2 16919879.80
17-i4-d0      0            3 16900397.00
17-i64-d0     0            1  7865718.60
17-i64-d0     0            2  7837570.60
17-i64-d0     0            3  7883884.80
17-i8-d0      0            1 18394493.40
17-i8-d0      0            2 18389582.00
17-i8-d0      0            3 18411908.40
2-i1-d0       0            1  2273258.40
2-i1-d0       0            2  2264234.60
2-i1-d0       0            3  2262869.00
2-i128-d0     0            1  2164978.20
2-i128-d0     0            2  2184887.00
2-i128-d0     0            3  2152463.60
2-i16-d0      0            1  2596288.80
2-i16-d0      0            2  2579358.40
2-i16-d0      0            3  2566124.80
2-i2-d0       0            1  2248955.20
2-i2-d0       0            2  2279920.20
2-i2-d0       0            3  2259789.00
