   Operation      Sample     Latency
32-i4-d0  0            1 25449184.00
32-i4-d0  0            2 25537030.80
32-i4-d0  0            3 25526438.40
32-i64-d0 0            1 12354354.40
32-i64-d0 0            2 12326498.40
32-i64-d0 0            3 12343338.80
32-i8-d0  0            1 24528458.80
32-i8-d0  0            2 24678266.40
32-i8-d0  0            3 24551411.60
39-i1-d0  0            1 16056222.80
39-i1-d0  0            2 16046508.80
39-i1-d0  0            3 16078492.40
39-i16-d0 0            1 15409621.40
39-i16-d0 0            2 15376832.60
39-i16-d0 0            3 15351432.80
39-i2-d0  0            1 29055722.60
39-i2-d0  0            2 29036059.60
39-i2-d0  0            3 29012468.00
39-i32-d0 0            1 17673785.20
39-i32-d0 0            2 17690181.60
39-i32-d0 0            3 17715660.40
39-i4-d0  0            1 28480257.60
39-i4-d0  0            2 28304253.00
39-i4-d0  0            3 28350147.80
39-i64-d0 0            1 15482082.60
39-i64-d0 0            2 15476330.20
39-i64-d0 0            3 15533545.80
39-i8-d0  0            1 28231669.80
39-i8-d0  0            2 28021958.00
39-i8-d0  0            3 28125281.20
4-i1-d0   0            1  3112955.60
4-i1-d0   0            2  3087449.60
4-i1-d0   0            3  3109695.20
4-i16-d0  0            1  4732187.20
4-i16-d0  0            2  4609304.20
4-i16-d0  0            3  4614865.00
4-i2-d0   0            1  3084938.80
4-i2-d0   0            2  3086413.80
4-i2-d0   0            3  3087441.20
4-i32-d0  0            1  4042436.40
4-i32-d0  0            2  4153909.20
4-i32-d0  0            3  4152416.60
4-i4-d0   0            1  4229036.80
4-i4-d0   0            2  4191490.20
4-i4-d0   0            3  4165189.20
4-i64-d0  0            1  3884711.40
4-i64-d0  0            2  3869142.60
4-i64-d0  0            3  3791565.20
4-i8-d0   0            1  5241150.00
4-i8-d0   0            2  5193873.80
4-i8-d0   0            3  5254415.20
47-i1-d0  0            1 19264404.60
47-i1-d0  0            2 19264708.60
47-i1-d0  0            3 19312125.00
47-i16-d0 0            1 23377459.60
47-i16-d0 0            2 23398167.80
47-i16-d0 0            3 23387921.20
47-i2-d0  0            1 30016499.60
47-i2-d0  0            2 29902732.80
47-i2-d0  0            3 30020758.80
47-i32-d0 0            1 18509042.60
47-i32-d0 0            2 18485696.80
47-i32-d0 0            3 18523215.20
47-i4-d0  0            1 29476559.00
47-i4-d0  0            2 29290669.80
47-i4-d0  0            3 29617343.40
47-i64-d0 0            1 18676415.20
47-i64-d0 0            2 18679527.20
47-i64-d0 0            3 18739477.40
47-i8-d0  0            1 28459764.60
47-i8-d0  0            2 28318580.40
47-i8-d0  0            3 28401869.60
5-i1-d0   0            1  2971951.60
5-i1-d0   0            2  2975033.60
5-i1-d0   0            3  2972720.40
5-i16-d0  0            1  5634316.20
5-i16-d0  0            2  5679145.00
5-i16-d0  0            3  5647479.40
5-i2-d0   0            1  4222544.20
5-i2-d0   0            2  4186519.20
5-i2-d0   0            3  4219116.20
5-i32-d0  0            1  4760400.40
5-i32-d0  0            2  4795604.80
5-i32-d0  0            3  4841566.20
5-i4-d0   0            1  5505869.80
5-i4-d0   0            2  5525175.20
5-i4-d0   0            3  5539596.40
5-i64-d0  0            1  4281478.00
5-i64-d0  0            2  4247075.40
5-i64-d0  0            3  4198771.80
5-i8-d0   0            1  6455172.80
5-i8-d0   0            2  6411421.60
5-i8-d0   0            3  6436525.40
57-i1-d0  0            1 23175679.20
57-i1-d0  0            2 23200280.80
57-i1-d0  0            3 23008661.20
57-i16-d0 0            1 28818821.60
57-i16-d0 0            2 28912364.60
57-i16-d0 0            3 28785425.80
57-i2-d0  0            1 30220679.60
57-i2-d0  0            2 30183251.20
57-i2-d0  0            3 30277019.80
57-i32-d0 0            1 24353304.80
57-i32-d0 0            2 24391313.00
57-i32-d0 0            3 24291673.00
57-i4-d0  0            1 29643469.60
57-i4-d0  0            2 29560626.20
57-i4-d0  0            3 29628395.40
57-i64-d0 0            1 23196829.40
57-i64-d0 0            2 23197386.00
57-i64-d0 0            3 23231434.80
57-i8-d0  0            1 29230244.20
57-i8-d0  0            2 29202750.40
57-i8-d0  0            3 29221680.20
69-i1-d0  0            1 28021108.00
69-i1-d0  0            2 28047227.00
69-i1-d0  0            3 28178373.40
69-i16-d0 0            1 30487091.20
69-i16-d0 0            2 30336699.60
69-i16-d0 0            3 30410958.20
69-i2-d0  0            1 30679785.20
69-i2-d0  0            2 30776025.20
69-i2-d0  0            3 30805784.20
69-i32-d0 0            1 29578336.20
69-i32-d0 0            2 29391066.60
69-i32-d0 0            3 29498630.80
69-i4-d0  0            1 30641943.80
69-i4-d0  0            2 30184642.40
69-i4-d0  0            3 30398557.00
69-i64-d0 0            1 28113242.20
69-i64-d0 0            2 28103438.20
69-i64-d0 0            3 28103525.00
69-i8-d0  0            1 30385408.20
69-i8-d0  0            2 30408171.80
69-i8-d0  0            3 30457820.40
7-i1-d0   0            1  3206157.40
7-i1-d0   0            2  3193480.60
7-i1-d0   0            3  3205195.80
7-i16-d0  0            1  6951841.20
7-i16-d0  0            2  7004599.00
7-i16-d0  0            3  6943262.80
7-i2-d0   0            1  5432258.20
7-i2-d0   0            2  5422175.00
7-i2-d0   0            3  5431536.80
7-i32-d0  0            1  5910629.60
7-i32-d0  0            2  6029069.20
7-i32-d0  0            3  5926394.00
7-i4-d0   0            1  7633104.40
7-i4-d0   0            2  7586972.80
7-i4-d0   0            3  7583671.00
7-i64-d0  0            1  5045409.40
7-i64-d0  0            2  5079172.00
7-i64-d0  0            3  5023957.00
7-i8-d0   0            1  8136827.80
7-i8-d0   0            2  8051312.60
7-i8-d0   0            3  8051646.80
80-i1-d0  0            1 31453673.20
80-i1-d0  0            2 31490855.40
80-i1-d0  0            3 31506437.20
80-i16-d0 0            1 31292438.20
80-i16-d0 0            2 31168695.80
80-i16-d0 0            3 31226283.00
80-i2-d0  0            1 31436148.60
80-i2-d0  0            2 31484005.20
80-i2-d0  0            3 31515340.80
80-i32-d0 0            1 31160901.20
80-i32-d0 0            2 31202525.40
80-i32-d0 0            3 31142697.20
80-i4-d0  0            1 31207114.20
80-i4-d0  0            2 31424947.60
80-i4-d0  0            3 31254299.80
80-i64-d0 0            1 31672550.40
80-i64-d0 0            2 31687496.80
80-i64-d0 0            3 31626862.20
80-i8-d0  0            1 31239254.00
80-i8-d0  0            2 31268716.40
80-i8-d0  0            3 31288491.40
9-i1-d0   0            1  4500426.80
9-i1-d0   0            2  4500556.00
9-i1-d0   0            3  4526230.60
9-i16-d0  0            1  8630690.40
9-i16-d0  0            2  8591030.00
9-i16-d0  0            3  8703196.00
9-i2-d0   0            1  7128273.40
9-i2-d0   0            2  7129151.00
9-i2-d0   0            3  7140838.80
9-i32-d0  0            1  6769831.60
9-i32-d0  0            2  6753000.20
9-i32-d0  0            3  6719294.40
9-i4-d0   0            1  9804583.00
9-i4-d0   0            2  9792964.60
9-i4-d0   0            3  9799504.20
9-i64-d0  0            1  5515607.20
9-i64-d0  0            2  5550681.40
9-i64-d0  0            3  5600447.20
9-i8-d0   0            1 10290503.80
9-i8-d0   0            2 10056766.60
9-i8-d0   0            3 10256271.40
